ID_EJERCICIO;ARCHIVO_PRINCIPAL;POSICION_INICIAL;POSICION_FINAL
incline;incline.webp;incline-start.webp;incline-end.webp
knees;knees.webp;knees-start.webp;knees-end.webp
pushup;pushup.webp;pushup-start.webp;pushup-end.webp
squat;squat.webp;squat-start.webp;squat-end.webp
reverse-lunge;reverse-lunge.webp;reverse-lunge-start.webp;reverse-lunge-end.webp
glute-bridge;glute-bridge.webp;glute-bridge-start.webp;glute-bridge-end.webp
calf-raise;calf-raise.webp;calf-raise-start.webp;calf-raise-end.webp
wall-sit;wall-sit.webp;wall-sit-start.webp;wall-sit-end.webp
plank;plank.webp;plank-start.webp;plank-end.webp
dead-bug;dead-bug.webp;dead-bug-start.webp;dead-bug-end.webp
bird-dog;bird-dog.webp;bird-dog-start.webp;bird-dog-end.webp
mountain-climber;mountain-climber.webp;mountain-climber-start.webp;mountain-climber-end.webp
superman;superman.webp;superman-start.webp;superman-end.webp
dumbbell-row;dumbbell-row.webp;dumbbell-row-start.webp;dumbbell-row-end.webp
band-row;band-row.webp;band-row-start.webp;band-row-end.webp
shoulder-press;shoulder-press.webp;shoulder-press-start.webp;shoulder-press-end.webp
lateral-raise;lateral-raise.webp;lateral-raise-start.webp;lateral-raise-end.webp
biceps-curl;biceps-curl.webp;biceps-curl-start.webp;biceps-curl-end.webp
chair-dip;chair-dip.webp;chair-dip-start.webp;chair-dip-end.webp
step-up;step-up.webp;step-up-start.webp;step-up-end.webp
jumping-jack;jumping-jack.webp;jumping-jack-start.webp;jumping-jack-end.webp
march;march.webp;march-start.webp;march-end.webp
burpee-low;burpee-low.webp;burpee-low-start.webp;burpee-low-end.webp
mobility-flow;mobility-flow.webp;mobility-flow-start.webp;mobility-flow-end.webp
